id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,country,style,year
0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,1,Mask Off,Future,US,Hip Hop,2017
1,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4.0,0.588,1,Redbone,Childish Gambino,Canada,Electronic,2018
2,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.173,1,Xanny Family,Future,Unknown,Hip Hop,2016
3,0.604,0.494,199413,0.338,0.51,5,0.0922,-15.236,1,0.0261,86.468,4.0,0.23,1,Master Of None,Beach House,US,Rock,2006
4,0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,4.0,0.904,1,Parallel Lines,Junior Boys,US,Electronic,2009
5,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4.0,0.264,1,Sneakin’,Drake,US,Hip Hop,2016
6,0.0145,0.739,241400,0.472,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308,1,Childs Play,Drake,US,Hip Hop,2016
8,0.0481,0.603,202853,0.944,0.0,11,0.342,-3.626,0,0.347,130.035,4.0,0.398,1,I've Seen Footage,Death Grips,US,Hip Hop,2012
9,0.00208,0.836,226840,0.603,0.0,7,0.571,-7.792,1,0.237,99.994,4.0,0.386,1,Digital Animal,Honey Claws,US,Electronic,2008
10,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3.0,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,Australia,Electronic,2016
11,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,UK,Funk / Soul,2011
12,0.253,0.603,356973,0.434,0.0619,0,0.108,-11.062,1,0.0342,127.681,4.0,0.381,1,Cemalim,Erkin Koray,Turkey,Rock,1974
14,0.44,0.662,247288,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.011,4.0,0.351,1,Oh lala,PNL,France,Hip Hop,2015
15,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4.0,0.317,1,Char,Crystal Castles,UK,Electronic,2016
16,0.0239,0.603,270827,0.955,0.0451,1,0.119,-4.111,1,0.0458,123.922,4.0,0.773,1,World In Motion,New Order,UK,Electronic,1990
18,0.314,0.713,195429,0.611,0.0,1,0.117,-6.702,0,0.241,140.061,4.0,0.783,1,Bouncin,Chief Keef,US,Hip Hop,2015
19,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,4.0,0.763,1,C O O L - Radio Edit,Le Youth,US,Electronic,1997
20,0.000702,0.854,249253,0.719,0.308,10,0.428,-9.335,0,0.0655,128.049,4.0,0.471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,Europe,Electronic,2013
21,0.00024,0.747,307680,0.74,0.369,1,0.0995,-4.134,1,0.0323,130.031,4.0,0.77,1,House of Jealous Lovers,The Rapture,US,Electronic,2002
22,0.118,0.854,287086,0.401,0.0,9,0.527,-8.553,1,0.395,139.922,4.0,0.441,1,Imma Ride,Young Thug,Europe,Hip Hop,2014
23,0.000596,0.224,132760,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.022,4.0,0.364,1,Girlfriend,Ty Segall,US,Rock,2015
25,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4.0,0.795,1,This Ready Flesh,TR/ST,Belgium,Electronic,1991
26,0.341,0.411,199500,0.684,1.42e-06,11,0.198,-6.889,0,0.383,110.016,4.0,0.598,1,Lose My Mind,A-Trak,US,Electronic,2016
27,0.018,0.646,188333,0.837,0.0403,6,0.316,-6.615,1,0.134,100.04,4.0,0.32,1,Char,Crystal Castles,UK,Electronic,2016
28,0.0516,0.782,228562,0.572,0.0,4,0.33,-7.467,0,0.0385,120.021,4.0,0.237,1,Look Alive,Rae Sremmurd,US,Hip Hop,2016
29,0.282,0.735,186096,0.4,0.125,1,0.0811,-12.766,1,0.102,129.004,4.0,0.326,1,Please Stop Making Fake Versace,Father,US,Hip Hop,2015
30,0.00791,0.45,220934,0.449,0.0,2,0.173,-12.037,1,0.156,135.45,4.0,0.137,1,Milly Rock,2milly,Italy,Rock,2012
32,0.0358,0.959,213000,0.598,0.0,8,0.358,-5.534,1,0.0713,127.029,4.0,0.424,1,Best Friend,Young Thug,US,Hip Hop,2015
33,0.0324,0.742,280831,0.559,0.0,5,0.0987,-5.876,1,0.141,146.923,4.0,0.429,1,Hercules,Young Thug,US,Hip Hop,2016
35,0.0428,0.667,230693,0.581,0.0,0,0.183,-5.164,0,0.323,110.953,4.0,0.372,1,Check,Young Thug,US,Hip Hop,2015
36,0.297,0.722,175613,0.823,0.0,7,0.489,-3.916,1,0.081,148.23,4.0,0.855,1,Poppin' My Collar,Three 6 Mafia,US,Hip Hop,2006
37,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.194,142.065,4.0,0.677,1,Jumpman,Drake,US,Hip Hop,2015
38,0.0128,0.747,213507,0.705,0.0,9,0.126,-5.137,0,0.126,136.024,4.0,0.571,1,7/11,Beyoncé,US,Hip Hop,2014
39,0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848,1,Somebody's Watching Me,Rockwell,US,Electronic,1983
40,0.00041,0.731,324541,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,4.0,0.622,1,Bang That,Disclosure,Unknown,Electronic,2015
42,0.00156,0.624,183000,0.792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,4.0,0.318,1,Versace Python,Riff Raff,US,Hip Hop,2014
43,0.00243,0.621,378893,0.683,0.00856,11,0.525,-5.619,0,0.242,124.283,5.0,0.0891,1,Monster,Kanye West,US,Hip Hop,2010
45,0.00631,0.715,213093,0.833,0.0,2,0.164,-5.379,1,0.108,95.487,4.0,0.607,1,Return Of The Mack - C & J Street Mix,Mark Morrison,UK & Europe,Electronic,1996
46,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,4.0,0.947,1,Fantastic Man,William Onyeabor,US,Electronic,2013
47,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,1,0.0456,104.593,4.0,0.832,1,Right Place Wrong Time,Dr. John,US,Funk / Soul,1973
48,0.375,0.796,252547,0.86,0.00457,5,0.0745,-6.202,0,0.0653,129.008,3.0,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,Germany,Latin,2009
49,0.183,0.716,576888,0.957,0.058,3,0.182,-4.814,1,0.0689,106.714,4.0,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor,Ghana,Funk / Soul,1976
50,0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4.0,0.852,1,Annie,Neon Indian,Australia,Electronic,2015
52,0.456,0.514,215613,0.453,0.000181,6,0.178,-7.062,1,0.0267,75.548,4.0,0.532,1,Coming Home,Leon Bridges,US,Funk / Soul,2015
53,0.128,0.313,286960,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,4.0,0.186,1,Wishes,Beach House,US,Rock,2012
54,0.246,0.676,254769,0.528,0.0,7,0.0803,-8.699,1,0.0366,130.073,4.0,0.301,1,White Iverson,Post Malone,USA & Canada,Hip Hop,2016
55,0.12,0.532,213622,0.596,0.0,11,0.504,-9.912,0,0.187,119.296,5.0,0.486,1,I Know There's Gonna Be (Good Times),Jamie xx,UK,Electronic,2015
56,0.00426,0.646,283067,0.629,0.277,8,0.122,-10.775,0,0.0427,109.013,4.0,0.176,1,Loud Places,Jamie xx,UK,Electronic,2015
57,0.193,0.598,238307,0.252,0.138,2,0.0992,-15.086,1,0.0647,120.06,4.0,0.0359,1,L$D,A$AP Rocky,US,Hip Hop,2015
58,0.0174,0.754,113373,0.442,9.4e-05,5,0.0622,-8.873,0,0.127,148.04,4.0,0.599,1,Dopeman,Vince Staples,US,Hip Hop,2015
59,0.000392,0.294,311360,0.786,0.865,2,0.272,-3.626,1,0.0378,81.108,4.0,0.136,1,California Nights,Best Coast,USA & Canada,Rock,2015
60,0.435,0.622,287427,0.253,0.471,2,0.0941,-14.36,1,0.0331,92.584,4.0,0.328,1,Baby,Ariel Pink's Haunted Graffiti,UK,Rock,2012
62,0.000145,0.54,293646,0.945,0.753,9,0.667,-6.64,1,0.0406,92.995,4.0,0.87,1,Fail to Cry,Yacht Club,France,Electronic,2012
64,0.374,0.549,223720,0.715,3.5e-06,1,0.17,-11.164,1,0.0633,82.118,4.0,0.785,1,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,UK,Funk / Soul,2011
65,0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4.0,0.259,1,Sentimental Trash,Sweet Valley,US,Electronic,2018
66,0.000546,0.597,279240,0.444,0.051,2,0.335,-8.39,0,0.03,120.074,4.0,0.361,1,Get Away,CHVRCHES,UK,Electronic,2014
67,0.00781,0.879,213786,0.512,1.45e-05,0,0.134,-7.83,1,0.0775,127.95,4.0,0.277,1,Look At Wrist,Father,USA,Hip Hop,2017
68,0.125,0.726,334173,0.497,0.89,10,0.104,-10.742,0,0.0433,125.004,4.0,0.472,1,Our Love,Caribou,US,Electronic,2014
70,0.0132,0.807,330920,0.778,0.666,0,0.109,-5.485,1,0.0399,120.001,4.0,0.797,1,They Don't Know - Original Mix,Disciples,Denmark,Electronic,2007
72,0.518,0.683,155133,0.708,2.08e-05,4,0.175,-6.852,0,0.0289,106.446,4.0,0.967,1,Spooky,Dusty Springfield,Germany,Funk / Soul,1970
73,0.0548,0.768,239908,0.853,0.13,10,0.0188,-5.915,0,0.0427,107.234,4.0,0.887,1,Pick Up The Pieces,Average White Band,US,Funk / Soul,1992
74,0.727,0.506,160400,0.948,0.0,10,0.0904,-5.626,1,0.105,130.195,4.0,0.936,1,Have Love Will Travel,The Sonics,US,Rock,1965
75,0.000313,0.457,293533,0.918,0.000215,11,0.769,-5.295,0,0.0471,105.018,4.0,0.297,1,Capitol,TR/ST,Europe,Jazz,2015
76,0.34,0.468,386760,0.58,0.821,7,0.0737,-8.131,1,0.0278,76.27,4.0,0.324,1,Uncast Shadow Of A Southern Myth,Parquet Courts,US,Rock,2014
77,0.47,0.537,232453,0.447,1.86e-05,9,0.0519,-8.261,1,0.0289,84.362,3.0,0.549,1,I Shall Be Released - Remastered,Nina Simone,US,Jazz,1993
78,0.855,0.515,378253,0.217,0.463,3,0.598,-13.382,0,0.0351,80.015,4.0,0.194,1,Words I Don't Remember,How To Dress Well,UK,Electronic,2014
79,0.00502,0.429,196933,0.725,1.54e-05,2,0.266,-6.156,1,0.0371,82.925,4.0,0.174,1,To The Top,Twin Shadow,Unknown,Electronic,2015
81,0.186,0.711,221350,0.705,0.0,10,0.148,-6.248,0,0.252,144.053,4.0,0.403,1,Aquafina (feat. GoldLink & Chaz French),Falcons,UK,Electronic,2016
82,0.0249,0.683,201049,0.824,0.627,1,0.0533,-8.569,0,0.222,154.008,4.0,0.921,1,Hot Blur,How Sad,UK & Europe,Rock,2015
84,0.193,0.867,460400,0.733,0.000219,10,0.749,-7.54,0,0.237,97.835,4.0,0.761,1,The Payback,James Brown,Germany,Funk / Soul,1973
85,0.0192,0.619,275533,0.734,0.263,5,0.0771,-9.366,0,0.0343,106.034,4.0,0.853,1,I'm In Love,Fool's Gold,US,Rock,2005
86,0.00776,0.898,429897,0.5,0.292,1,0.0771,-11.089,1,0.0571,122.281,4.0,0.868,1,I Need You Tonight,Punkin Machine,Canada,Electronic,1981
87,0.17,0.589,206240,0.745,0.000406,7,0.376,-8.109,1,0.076,99.407,4.0,0.76,1,Everybody Likes Something Good,Ify Jerry Crusade,UK,Funk / Soul,2008
88,0.0221,0.606,234987,0.668,1.65e-05,5,0.0527,-9.168,0,0.0729,158.859,4.0,0.958,1,Dadje Von O Von Non,Gnonnas Pédro,France,Latin,1967
89,0.0397,0.786,302840,0.547,0.272,1,0.0378,-11.416,1,0.262,92.603,4.0,0.68,1,Sugah Daddy,D'Angelo,USA & Canada,Funk / Soul,2015
92,0.00672,0.876,213246,0.606,1.06e-05,0,0.14,-5.471,1,0.0645,127.975,4.0,0.249,1,Look At Wrist,Father,USA,Hip Hop,2017
93,0.00488,0.601,467587,0.873,0.0365,1,0.113,-5.866,0,0.0448,124.997,4.0,0.566,1,Let It Happen,Tame Impala,Australia,Rock,2015
95,0.17,0.615,214150,0.814,0.0,9,0.218,-3.903,0,0.0677,144.005,4.0,0.601,1,Walk,Kwabs,Germany,Hip Hop,2014
96,0.0604,0.799,333520,0.789,0.0,0,0.0338,-8.208,1,0.0396,116.081,4.0,0.833,1,The Magnificent Seven - Remastered,The Clash,Europe,Rock,2003
97,0.0571,0.398,247390,0.776,0.0172,9,0.303,-7.388,0,0.0374,110.815,4.0,0.689,1,NOBO,Tijuana Panthers,US,Rock,2014
98,0.716,0.685,427227,0.423,0.518,11,0.0765,-9.031,0,0.0475,138.034,4.0,0.649,1,The Gaudy Side of Town,Gayngs,US,Electronic,2010
99,0.0151,0.706,299799,0.581,0.0,9,0.368,-6.492,1,0.055,134.009,4.0,0.463,1,U Mad,Vic Mensa,Unknown,Electronic,2015
100,0.228,0.63,315595,0.98,0.00661,1,0.487,-4.914,1,0.059,108.009,4.0,0.805,1,Slumlord,Neon Indian,Australia,Electronic,2015
101,0.017,0.57,237480,0.736,5.74e-05,9,0.178,-5.822,1,0.0844,99.86,4.0,0.267,1,Leave A Trace,CHVRCHES,Europe,Electronic,2015
102,0.247,0.525,292760,0.643,0.0,5,0.106,-6.874,0,0.816,199.727,4.0,0.943,1,Willing & Able,Disclosure,Europe,Electronic,2015
103,0.123,0.698,236760,0.793,0.0,1,0.0805,-5.332,0,0.105,129.948,4.0,0.46,1,White Girl,Shy Glizzy,Unknown,Hip Hop,2014
104,0.00705,0.763,213375,0.773,0.032,0,0.772,-4.722,1,0.0533,130.025,4.0,0.347,1,Maneuvering,ILoveMakonnen,US,Hip Hop,2014
105,0.181,0.511,160907,0.769,0.0,4,0.0921,-7.032,1,0.042,129.657,4.0,0.814,1,Be My Baby,The Ronettes,US,Rock,1963
107,0.677,0.513,162040,0.494,6.43e-05,0,0.143,-5.072,1,0.0315,135.894,4.0,0.521,1,Will You Love Me Tomorrow,The Shirelles,US,Rock,1960
108,0.488,0.251,126827,0.868,7.34e-06,1,0.818,-2.685,1,0.128,177.125,4.0,0.587,1,One Fine Day,The Chiffons,US,Funk / Soul,1978
110,0.7,0.431,158685,0.678,6.37e-06,4,0.199,-7.945,1,0.0365,135.919,4.0,0.632,1,Then He Kissed Me,The Crystals,US,Funk / Soul,1963
112,0.656,0.78,149440,0.599,0.0,2,0.129,-10.251,1,0.0329,121.198,4.0,0.967,1,Please Mr. Postman,The Marvelettes,US,Funk / Soul,1961
113,0.00904,0.614,196352,0.907,0.000131,4,0.36,-2.536,0,0.143,122.906,4.0,0.354,1,Fiesta - Remix,Bomba Estéreo,Unknown,Electronic,2015
114,0.141,0.661,196615,0.531,0.0,7,0.136,-10.113,0,0.548,93.287,5.0,0.657,1,Queen's Speech 4,Lady Leshurr,US,Hip Hop,2016
115,0.119,0.564,213622,0.594,0.0,11,0.536,-9.912,0,0.155,89.394,4.0,0.489,1,I Know There's Gonna Be (Good Times),Jamie xx,UK,Electronic,2015
116,0.0659,0.751,202533,0.597,0.0,9,0.0881,-6.59,0,0.125,123.997,4.0,0.168,1,With That (feat. Duke),Young Thug,UK,Electronic,2015
117,0.00257,0.896,267024,0.623,0.000258,2,0.039,-8.008,1,0.0571,134.962,4.0,0.564,1,Hotline Bling,Drake,Unknown,Hip Hop,2015
118,0.00256,0.618,196693,0.717,0.0,7,0.625,-5.738,1,0.318,190.05,4.0,0.601,1,679 (feat. Remy Boyz),Fetty Wap,UK,Electronic,2015
